Squad,ATT,MID,DEF,OVR,Possesion,MP,W,D,L,GF,GA,GDiff,Pts
AFC Bournemouth,79,77,76,77,43.8,38,9,7,22,40,65,-25,34
Arsenal,86,82,80,81,54,38,14,14,10,56,48,8,56
Aston Villa,76,75,74,75,43.9,38,9,8,21,41,67,-26,35
Brighton & Hove Albion,76,76,75,76,52.2,38,9,14,15,39,54,-15,41
Burnley,77,76,76,76,41.4,38,15,9,14,43,50,-7,54
Chelsea,79,84,80,81,60.7,38,20,6,12,69,54,15,66
Crystal Palace,75,77,76,77,44.5,38,11,10,17,31,50,-19,43
Everton,77,79,80,79,49.2,38,13,10,15,44,56,-12,49
Leicester City,79,77,77,78,57.6,38,18,8,12,67,41,26,62
Liverpool,86,83,84,84,63.4,38,32,3,3,85,33,52,99
Manchester City,86,87,83,86,66.9,38,26,3,9,102,35,67,81
Manchester United,83,79,80,81,56.2,38,18,12,8,66,36,30,66
Newcastle United,78,76,76,77,38.6,38,11,11,16,38,58,-20,44
Norwich City,76,73,72,74,49.3,38,5,6,27,26,75,-49,21
Sheffield United,73,73,73,73,43.1,38,14,12,12,39,39,0,54
Southampton,75,76,76,76,49.3,38,15,7,16,51,60,-9,52
Tottenham Hotspur,86,83,82,83,52.2,38,16,11,11,61,47,14,59
Watford,77,79,76,78,42.5,38,8,10,20,36,64,-28,34
West Ham United,83,79,76,78,44,38,10,9,19,49,62,-13,39
Wolverhampton Wanderers,77,80,77,78,48.3,38,15,14,9,51,40,11,59
